1,483 OF 2020 ARISING OUT OF SLP (CIVIL) NO.,3
2,2186 OF 2020 [CC NO.,3
3,12379 OF 2016] INDU BAI & ORS.,2
4,.....APPELLANT(S) VERSUS STATE OF TELANGANA & ORS.,3
5,.....RESPONDENT(S) WITH CIVIL APPEAL NOS.,2
6,477-478 OF 2020 (ARISING OUT OF SLP (CIVIL) NOS.,2
7,23613-23614 OF 2016) CIVIL APPEAL NOS.,2
8,486-487 OF 2020 ARISING OUT OF SLP (CIVIL) NOS.,2
9,2187-2188 OF 2020 [CC NOS.,2
10,15550-15551 OF 2016] CIVIL APPEAL NOS.,2
11,492-493 OF 2020 ARISING OUT OF SLP (CIVIL) NOS.,2
12,2189-2190 OF 2020 [CC NOS.,2
13,9442-9443 OF 2017] CIVIL APPEAL NOS.,2
14,568 OF 2020 ARISING OUT OF SLP (CIVIL) NOS.,2
15,2378 OF 2020 [DIARY NO.,3
16,38272 OF 2016] CIVIL APPEAL NOS.,2
17,569-570 OF 2020 ARISING OUT OF SLP (CIVIL) NOS.,2
18,2379-2380 OF 2020 [DIARY NO.,3
19,38274 OF 2016] CIVIL APPEAL NOS.,2
20,571-572 OF 2020 ARISING OUT OF SLP (CIVIL) NOS.,2
21,2381-2382 OF 2020 [DIARY NO.,3
22,38275 OF 2016] Signature Not Verified Digitally signed by DEEPAK SINGH Date: 2020.01.22 17:11:17 IST Reason: CIVIL APPEAL NOS.,2
23,573 OF 2020 ARISING OUT OF SLP (CIVIL) NOS.,2
24,2383 OF 2020 [DIARY NO.,3
25,38276 OF 2016] CIVIL APPEAL NOS.,2
26,479-480 OF 2020 1 ARISING OUT OF SLP (CIVIL) NOS.,2
27,2175-2176 OF 2020 [DIARY NO.,3
28,33321 OF 2019] CIVIL APPEAL NO.,3
29,481 OF 2020 ARISING OUT OF SLP (CIVIL) NO.,3
30,2177 OF 2020 [DIARY NO.,3
31,"45315 OF 2019] JUDGMENT HEMANT GUPTA, J.",0
32,1\.,0
33,"The present appeals are directed against a common order passed by the High Court of Judicature for the States of Telangana and Andhra Pradesh at Hyderabad on 12 th February, 2016 whereby the writ petitions filed by the State of Telangana were allowed.",7
34,2\.,0
35,Civil Appeal No.,4
36,7477 of 2019 (Ramesh Parsram Malani & Ors.,4
37,v. The State of Telangana & Ors.),4
38,"arising out of the said order stands dismissed by this Court on 22 nd October, 2019 wherein it has been held that the Central Government has transferred land to the State Government and that the State can allot land for settlement of displaced persons.",7
39,3\.,0
40,"The appellants claim themselves to be pre-partition tenants on the land situated in Village Poppalguda, District Ranga Reddy.",0
41,"The grievance of the appellants is that their right to continue in possession has been put in jeopardy when the State issued an auction notice on 25th April, 2016.",4
42,4\.,0
43,"This Court in its judgment dated 22nd October, 2019 has not examined the claim of the alleged pre- partition tenants.",4
44,This Court in 2 Ramesh Parsram Malani’s case set aside the finding of the High Court wherein it was held that transfer of land to the State Government takes such transferred land out of compensation pool.,9
45,"The observations of this Court in the following para are in the context of the finding recorded by the High Court, which reads as under: “31.",2
46,"However, we are unable to agree with the High Court that transfer of land to the State Government takes such transferred land out of compensation pool.",2
47,The land transferred to the State Government continues to be part of compensation pool but it is required to be disposed of by the Officers of the State who have been conferred the powers of the Managing Officer or of the Settlement Commissioner for the settlement of the displaced persons alone.,2
48,"It is only after the displaced persons are settled, the State Government may utilize the land for other purposes.� 5\.",3
49,In Civil Appeals arising out of Special Leave Petition (Civil) Nos.,1
50,"23613-23614 of 2016, the order of the High Court in Writ Petition Nos.",0
51,29274 of 2014 and 29436 of 2014 is subject matter of challenge.,2
52,"Before the High Court, the appellants have challenged the allotment of land to Ramesh Parsram Malani (the appellant in Civil Appeal No.",5
53,7477 of 2019) and also claimed Patta being prepartition tenants.,0
54,"The appellants have claimed, inter alia, the following relief: “…direct the respondents No.",1
55,1 to 5 to grant patta rights in respect of the subject lands admeasuring Ac.18.00 Gts in Sy.,0
56,No.,1
57,"301, 303, 327, situated at Poppalguda Village, Rajendra Nagar Mandal, Ranga Reddy District, in favour of the petitioners herein.� 6\.",0
58,In Civil Appeals arising out of Special Leave Petitions (CC Nos.,1
59,"3 15550-15551 of 2016), the appellants have filed miscellaneous application for claiming interim directions not to interfere with the possession and enjoyment of the appellants over the land comprising in Survey No.",2
60,"331 of Poppalguda Village, Rajendra Nagar Mandal, Ranga Reddy District.",0
61,"Therefore, the challenge in the writ petitions was not to seek establishment of any right of the appellants being pre-partition tenants.",0
62,7\.,0
63,"In other appeals, the appellants have not invoked the writ jurisdiction or any other competent forum for redressal of their grievances in relation to vesting of land in them.",0
64,8\.,0
65,"In view of the above, the order dated 12 th February, 2016 passed by the High Court in Writ Petition Nos.",4
66,29274 of 2014 and 29436 of 2014 is set aside and the matter is remitted to the High Court to decide the writ petitions in accordance with law.,4
67,All other appellants are at liberty to invoke such other jurisdiction as may be available to them for redressal of their grievances in accordance with law.,2
68,9\.,0
69,All the appeals stand disposed of accordingly.,1
70,.............................................J.,0
71,(L. NAGESWARA RAO) .............................................J.,0
72,"(HEMANT GUPTA) NEW DELHI; JANUARY 21, 2020.",3
73,4,0
